condition,eta,delta,metadata_path,case,episode,rollout_path,cutting_error_volume,part_remaining_rate,part_occupancy_rate,num_steps,step_cutting_error_volumes,step_part_remaining_rates,step_part_occupancy_rates,execution_error_enabled,execution_error_mode,execution_error_seed,cases_name,num_episodes_config,task_step_config,epoch,infer_model,control_mode,num_steps_with_shift,mean_abs_sampled_shift,mean_abs_applied_shift,max_abs_sampled_shift,max_abs_applied_shift
eta_0p5_delta_1,0.5,1,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N1_E100000/epsilon_greedy_00/condition_metadata.yaml,Object_4,0,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N1_E100000/epsilon_greedy_00/Object_4/episode_0/rollout_data.pickle,26.0,25.0,99.9999833333361,8,"[0.0, 0.0, 0.0, 6.0, 12.0, 8.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 75.0, 37.5, 25.0, 25.0, 25.0]","[0.937499999633789, 2.1428571409438777, 3.8095238034769463, 9.523809473418998, 21.42857091836736, 33.33333148148158, 49.999995833333685, 99.9999833333361]",True,boundary_uniform,0,simple_A,1,8,100000,conditional_diffusion,epsilon_greedy_00,5,0.75,0.625,1.0,1.0
eta_0p5_delta_1,0.5,1,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N1_E100000/epsilon_greedy_00/condition_metadata.yaml,Object_5,0,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N1_E100000/epsilon_greedy_00/Object_5/episode_0/rollout_data.pickle,21.0,50.0,66.66666419753096,8,"[0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 12.0, 0.0]","[100.0, 75.0, 75.0, 75.0, 75.0, 75.0, 50.0, 50.0]","[1.1718749996185303, 1.7578124988555908, 4.017857136878189, 6.887755084470013, 18.367346813827574, 42.85714217687076, 49.99999861111115, 66.66666419753096]",True,boundary_uniform,0,simple_A,1,8,100000,conditional_diffusion,epsilon_greedy_00,4,0.625,0.5,1.0,1.0
eta_0p5_delta_1,0.5,1,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N1_E100000/epsilon_greedy_00/condition_metadata.yaml,Object_6,0,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N1_E100000/epsilon_greedy_00/Object_6/episode_0/rollout_data.pickle,12.0,75.0,35.99999964,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 12.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 75.0, 75.0, 75.0]","[1.7045454539401472, 3.03030302838996, 5.555555549125515, 9.999999979166667, 10.666666642962962, 17.14285706122449, 29.99999975, 35.99999964]",True,boundary_uniform,0,simple_A,1,8,100000,conditional_diffusion,epsilon_greedy_00,4,0.625,0.5,1.0,1.0
