condition,eta,delta,guidance_scale,sample_image_num,sampling_timesteps,num_episodes,num_cases,cutting_error_volume_mean,cutting_error_volume_std,cutting_error_volume_sem,part_remaining_rate_mean,part_remaining_rate_std,part_remaining_rate_sem,part_occupancy_rate_mean,part_occupancy_rate_std,part_occupancy_rate_sem,num_steps_with_shift_mean,mean_abs_sampled_shift_mean,mean_abs_applied_shift_mean,max_abs_sampled_shift_mean,max_abs_applied_shift_mean
eta_0p0_delta_0,0.0,0,,-1,-1,18,3,0.0,0.0,0.0,100.0,0.0,0.0,21.68253954682582,4.421563053624684,1.0421724062206377,0.0,0.0,0.0,0.0,0.0
eta_0p0_delta_1,0.0,1,,-1,-1,18,3,8.722222222222221,11.457366269351144,2.7005271278654037,77.54629629629629,27.008338433765154,6.365926418365533,35.968536190971285,23.06668331823213,5.436869397934851,4.777777777777778,0.6666666666666666,0.5972222222222222,1.0,1.0
eta_0p0_delta_2,0.0,2,,-1,-1,18,3,26.72222222222222,31.590775935120785,7.446017295556236,55.55555555555556,42.99357757175252,10.133683416152023,31.289011718816898,26.327041620216495,6.205343219411852,5.944444444444445,1.2152777777777777,1.0763888888888888,1.9444444444444444,1.9444444444444444
eta_0p5_delta_0,0.5,0,,-1,-1,18,3,0.6666666666666666,2.8284271247461903,0.6666666666666667,98.61111111111111,5.892556509887896,1.388888888888889,37.36507895526078,9.485722032703116,2.235806124591672,0.0,0.0,0.0,0.0,0.0
eta_0p5_delta_1,0.5,1,,-1,-1,18,3,16.11111111111111,12.690380279329178,2.9911513171165653,61.80555555555556,25.3347684062057,5.971462179939585,51.67063286308249,21.748825611507534,5.126247357580214,4.888888888888889,0.6666666666666666,0.6111111111111112,1.0,1.0
eta_0p5_delta_2,0.5,2,,-1,-1,18,3,42.0,28.25097603727743,6.658818910365843,29.320987654320984,34.146830181703265,8.048485059169284,26.78438756760448,29.945487459040738,7.058219082741474,6.055555555555555,1.2152777777777777,1.1041666666666667,1.9444444444444444,1.9444444444444444
eta_1p0_delta_0,1.0,0,,-1,-1,18,3,24.333333333333332,13.372491518477949,3.151926478025117,32.87037037037037,28.650505907289766,6.752989003823278,8.759093725174237,12.817518566641882,3.021118098818984,0.0,0.0,0.0,0.0,0.0
eta_1p0_delta_1,1.0,1,,-1,-1,18,3,26.61111111111111,17.398914397807186,4.100963451991239,33.79629629629629,34.945361439385145,8.236700681601377,6.3431186093659715,11.654408819930737,2.746970502431111,4.0,0.6666666666666666,0.5,1.0,1.0
eta_1p0_delta_2,1.0,2,,-1,-1,18,3,35.0,16.722651070435255,3.9415666571070824,19.907407407407405,24.44463012407197,5.761654574776083,6.943108777164529,14.503051926618127,3.418402121737434,5.055555555555555,1.2152777777777777,0.9236111111111112,1.9444444444444444,1.9444444444444444
