condition,eta,delta,num_episodes,num_cases,cutting_error_volume_mean,cutting_error_volume_std,cutting_error_volume_sem,part_remaining_rate_mean,part_remaining_rate_std,part_remaining_rate_sem,part_occupancy_rate_mean,part_occupancy_rate_std,part_occupancy_rate_sem,num_steps_with_shift_mean,mean_abs_sampled_shift_mean,mean_abs_applied_shift_mean,max_abs_sampled_shift_mean,max_abs_applied_shift_mean
eta_0p0_delta_0,0.0,0,18,3,0.0,0.0,0.0,100.0,0.0,0.0,28.13888866063657,6.69680679867863,1.5784524998806115,0.0,0.0,0.0,0.0,0.0
eta_0p0_delta_1,0.0,1,18,3,3.111111111111111,10.587944803567813,2.49560252314389,76.04166666666667,37.022077078095855,8.726187251844209,44.18593782138706,36.10346117841533,8.509667407854248,3.5555555555555554,0.6666666666666666,0.4444444444444444,1.0,1.0
eta_0p0_delta_2,0.0,2,18,3,9.166666666666666,16.47904194816591,3.8841474363352306,18.055555555555557,23.176997273468775,5.462870646537298,58.327657020729895,48.99632841406891,11.548545358277083,4.444444444444445,1.2152777777777777,0.8055555555555556,1.9444444444444444,1.8888888888888888
eta_0p5_delta_0,0.5,0,18,3,0.0,0.0,0.0,100.0,0.0,0.0,42.99999948250001,10.79215388767665,2.5437350658616404,0.0,0.0,0.0,0.0,0.0
eta_0p5_delta_1,0.5,1,18,3,6.166666666666667,10.998663020353616,2.592409735225919,26.041666666666668,17.62342678279759,4.153881528620266,67.22221759567937,45.21914363936899,10.658254368948784,3.6666666666666665,0.6666666666666666,0.4583333333333333,1.0,1.0
eta_0p5_delta_2,0.5,2,18,3,10.055555555555555,18.944104227102432,4.46516818749629,16.43518518518518,23.416876971275915,5.519410833533435,60.019831354387556,48.99629085182901,11.548536504772233,4.5,1.2152777777777777,0.8125,1.9444444444444444,1.8888888888888888
eta_1p0_delta_0,1.0,0,18,3,3.0,5.911106196862668,1.393261092038472,51.85185185185185,23.14270088412446,5.4547869100454385,5.762986986013091,0.7745515169838482,0.1825635433458688,0.0,0.0,0.0,0.0,0.0
eta_1p0_delta_1,1.0,1,18,3,5.0,10.13439106966675,2.388698882852583,31.018518518518515,36.91599228742194,8.701182826888783,4.00545632715665,5.039418361329737,1.1878022988440855,3.388888888888889,0.6666666666666666,0.4236111111111111,1.0,1.0
eta_1p0_delta_2,1.0,2,18,3,8.0,14.258124618864109,3.3606722016672235,8.641975308641975,12.955179736225276,3.0535651476584804,1.929012333488726,2.8138543077114617,0.663231820751251,4.166666666666667,1.2152777777777777,0.7569444444444444,1.9444444444444444,1.8888888888888888
